Building Code,Building Name,EMP_COUNT,LOC_CODE
102,DAVID PENINGTON BUILDING,261,PAR;102
104,ALAN GILBERT BUILDING,329,PAR;104
105,FBE BUILDING,261,PAR;105
106,LAW BUILDING,358,PAR;106
110,THE SPOT,273,PAR;110
113,BALDWIN SPENCER BUILDING,22,PAR;113
115,REDMOND BARRY BUILDING,19,PAR;115
122,BIOSCIENCES 2,71,PAR;122
123,BIOSCIENCES 1,24,PAR;123
128,OLD PHYSICS BUILDING,3,PAR;128
133,GLYN DAVIS BUILDING,107,PAR;133
134,ELISABETH MURDOCH BUILDING,48,PAR;134
136,IAN POTTER MUSEUM OF ART,10,PAR;136
139,BABEL BUILDING,66,PAR;139
141,CONSERVATORIUM OF MUSIC,9,PAR;141
143,BIOSCIENCES 3,28,PAR;143
144,KENNETH MYER BUILDING,13,PAR;144
147,BIOSCIENCES 4,77,PAR;147
148A,ARTS WEST BUILDING (NORTH WING),61,PAR;148A
148B,ARTS WEST BUILDING (WEST WING),78,PAR;148B
149,OLD ARTS BUILDING,42,PAR;149
153,CHEMISTRY BUILDING (WEST WING),54,PAR;153
154,CHEMISTRY BUILDING (EAST WING),63,PAR;154
155,OLD GEOLOGY BUILDING (NORTH WING),28,PAR;155
156,OLD GEOLOGY BUILDING (SOUTH WING),10,PAR;156
158,SIDNEY MYER ASIA CENTRE,28,PAR;158
160,PETER HALL BUILDING,123,PAR;160
162,ALICE HOY BUILDING,53,PAR;162
163,WALTER BOAS BUILDING,48,PAR;163
165,CHEMICAL ENGINEERING 1,98,PAR;165
166,OLD METALLURGY BUILDING,20,PAR;166
167,CHEMICAL ENGINEERING 2,47,PAR;167
168,DOUG MCDONELL BUILDING,386,PAR;168
169,ENGINEERING WORKSHOPS,3,PAR;169
170,MECHANICAL ENGINEERING BUILDING,97,PAR;170
173,OLD ENGINEERING SCHOOL,52,PAR;173
174,INFRASTRUCTURE ENGINEERING (BLOCK C),92,PAR;174
175,INFRASTRUCTURE ENGINEERING (BLOCK B),113,PAR;175
176,INFRASTRUCTURE ENGINEERING (BLOCK D),143,PAR;176
177,BAILLIEU LIBRARY,29,PAR;177
181,MEDICAL BUILDING,233,PAR;181
182,BROWNLESS BIOMEDICAL LIBRARY,11,PAR;182
184,OLD MICROBIOLOGY BUILDING,96,PAR;184
191,JOHN MEDLEY BUILDING,175,PAR;191
192,DAVID CARO BUILDING,184,PAR;192
193,ELECTRICAL & ELECTRONIC ENGINEERING BUILDING,180,PAR;193
194,BIOSCIENCES 5,2,PAR;194
199,757 SWANSTON ST (STOP 1 & STUDENT SERVICES),219,PAR;199
200,MCCOY BUILDING,74,PAR;200
201,THOMAS CHERRY BUILDING,22,PAR;201
203,SECURITY OFFICE,13,PAR;203
207,202-206 BERKELEY ST (MDHS),2,PAR;207
220,780 ELIZABETH ST,20,PAR;220
221,45 BARRY ST (LEVEL 3),67,PAR;221
232,"535 ELIZABETH ST (LEVELS 3, 4, 5)",64,PAR;232
244,800 SWANSTON ST (EYECARE CLINIC),5,PAR;244
245,32 LINCOLN SQUARE NORTH,71,PAR;245
246,550 SWANSTON ST (AUDIOLOGY CLINIC),51,PAR;246
254,172 BOUVERIE ST (MSE),9,PAR;254
257,187 GRATTAN ST,39,PAR;257
261,203 BOUVERIE ST (BIOMEDICAL ENGINEERING),53,PAR;261
263,KWONG LEE DOW BUILDING (MGSE),140,PAR;263
266,11 BARRY ST (BUSINESS SERVICES),373,PAR;266
269,170 BOUVERIE ST (ATLANTIC FELLOWS PROGRAM),1,PAR;269
274,201 GRATTAN ST (MELBOURNE SOCIAL EQUITY INSTITUTE),11,PAR;274
278,100 LEICESTER ST (MGSE),265,PAR;278
281,204 LYGON ST (LEVELS 4 & 5),6,PAR;281
283,11-15 ARGYLE PLACE SOUTH (CO2CRC),3,PAR;283
353,159 BARRY ST,2,PAR;353
356,21 ROYAL PARADE,4,PAR;356
357,23 ROYAL PARADE,6,PAR;357
358,25 ROYAL PARADE,4,PAR;358
359,27 ROYAL PARADE,3,PAR;359
363,153 BARRY ST (AUSTRALIA-INDIA INSTITUTE),1,PAR;363
368,205 GRATTAN ST (OFFICE OF ASSOCIATE PROVOST),12,PAR;368
379,207-221 BOUVERIE ST (MSPGH & GEOGRAPHY),130,PAR;379
381,"333 EXHIBITION ST (MSPGH, MSE, STUDIO 4, MC)",194,PAR;381
384,UNIVERSITY BUSINESS SERVICES BUILDING,11,PAR;384
385,UNIVERSITY HEALTH SERVICES BUILDING,1,PAR;385
387,UNIVERSITY CAMPUS SERVICES BUILDING,25,PAR;387
390,141 BARRY ST (POCHE CENTRE),4,PAR;390
394,139 BARRY ST (STATISTICAL CONSULTING CENTRE),3,PAR;394
400,VETERINARY PRECLINICAL SCIENCES BUILDING,66,PAR;400
404,BIO21 BUSINESS INCUBATOR BUILDING,3,PAR;404
